Sentiment,Review
Positief,"""I have been to a number of hospitals (unfortunately) and have been impressed with The Hospital. It is a very good facility, with multiple floors for cardiology (and other floors for other areas too). I have been engaged mostly with the Advanced Heart Failure team and they are the best to deal with. Every single nurse, doctor, APRN has been outstanding. I tell them that I have been to other hospitals and those other hospitals are great, but when compared to The Hospital, it is like comparing Chik-fil-a to McDonald’s. They are just a cut above in service and making you feel cared for. I had to have a long stay and they have a spa (Eden Spa). I was able to schedule a haircut in my room. So convenient and adds to your own humanity when you take care of the basics."","
Positief,"""All I can say is excellent. I was transferred to there after having stomach pain due to a gallbladder issue and had a procedure done. The Doctor was the surgeon and very good. All the doctors and nurses and staff took really good care of me during my stay. I had a beautiful clean private room on the 12th floor with a beautiful view of the city. Their services were more then 5 stars. Each staff for each shift was excellent. Thank you for all that you do."","
Positief,"""My stepson had to be direct admitted to the epilepsy center and we stay for two nights. They moved really fast to get him seen. The Doctor the resident has a great bedside manner and listened ti our full history. Her supervisor, Doctor Mariah seemed sincere and listened too. The Doctor was able to finally give him a diagnosis and get our son on a good track. Kristen, the night nursing was wonderful. Millie the EEG tech were made him feel comfortable and took her time with him. Even had to redo it leads. The room was large and clean. It was nice having the resource center for snacks and miscellaneous things we didn’t pack. Only complaint would be the techs or were a little loud in the hallways with each others. Didn’t see them too much."","
Positief,"""I’ve had a consistently positive experience with The Hospital, and it’s one of the reasons I switched most of my healthcare providers to them. The care from both the doctors and staff has always been exceptional. I’ve had various procedures done, including X-rays, sonograms, and MRIs, and each time the process has been smooth, professional, and efficient. I’ve visited several of their locations, and it’s clear that the high level of care is consistent across the board. It’s comforting to know that I can rely on The Hospital for quality medical services no matter where I go."","
Positief,"""I like to thank all the staff for taking care of me. I was admitted there for a gallbladder removal and stayed 4 days. During the stay each nurse and staff on all shifts were so great taking care of me. Thank you to Doctor for visiting and taking care of my gallbladder removal. If I could give more then 5 Stars I would. I had my own room and the floor was very quiet. I was on the 12th floor and had a beautiful view of the city. Thank you again for taking care of me. Here are a few photos of the view from my bed in my hospital room on the 12th floor"","
Positief,"""Open heart surgery and recovery. ICU team was Awesome!!!!!! 8th floor Cardiology folks were top notch as well. Doctor and his support cast were Outstanding!!!!!!!! Highly recommend this facility!!!!!!!!!"","
Positief,"""My procedure went well. My anesthesiologist, did however give me too much medicine and it took me 3-4 hours at least to come out of it. I was dizzy for hours. I was not happy about that. But my doctor , Doctor was amazing . I would recommend him to everyone."","
Positief,"""Such an exceptional experience. So impressed with the care given to a small child to ensure it is not traumatic. Every nurse, doctor, and technician was pleasant, friendly, and helpful. Taking the time to explain every detail of the procedure. Thank you so much for taking the stress away."","
Positief,"""It was a very good experience. The staff was amazing from registration to all the nurses.. they were very thoughtful and kind and explained everything in a clear way. The Doctor was great and took his time with me.The Doctor is a wonderful Doctor and I highly recommend him."","
Positief,"""I have trusted The Hospital to care for me for more than five years and, before that, I trusted Florida Hospital for over twenty years. Every encounter that I have had with them has been positive. Every staff member: Doctors, Nurse Practitioners, Nurses, Technicians, scheduling, reception, transport team members and any other staff have been extremely warm, caring and sensitive to my needs. I don't think that I will entrust my well-being and medical needs to anyone else."","
Negatief,"""I went in for a accident check. I was in pain from a car accident I wanted to get checked out. I told the doctor and staff what my problems where. I don't think I was taken to serious and don't think I'll be back. I've been in this ER before and it was a lot better than this. The staff really needs to mind there own business and stick to there jobs and not make judgement on the client. At any rate unless I have absolutely no other choice I will not be back. Regardless of what profession the medical field is still a business and the hospital is not a charity. You get paid to do your job and keep you opinion to your self."","
Positief,"""I want to express my deepest gratitude to the hospice nurses and staff who cared for my mother during her final days from November 4 11, 2024. The care and compassion they provided were beyond words. Not only did they ensure her comfort and dignity, but they also took the time to educate me and offer emotional support throughout this difficult time. Their kindness, patience, and professionalism helped us navigate her final days with peace of mind. I will forever be grateful for the comfort, reassurance, and genuine care they provided to both my mother and our family. Thank you for making a truly difficult time a little easier to bare."","
Negatief,"""Can't find my friend! I have a friend who was admitted to this hospital via Emergency Care yesterday morning. I have been calling repeatedly and put on hold for over an hourtrying to find out his status whether he's alive or dead I still don't know! Why can't they add a patient directory to the website so that you can check it out without tying up all the phone lines? This is otherwise a very good hospital but this is a terrible omission and needs to be fixed asap"","
Positief,"""Everyone on the staff were so helpful, polite, and friendly. I felt like a person, not a number or a burden. It made my recovery so much quicker."","
Positief,"""We traveled from 5 states away and arrived at 1 a.m. We were greeted with smiles and led to my Mother-in-Laws room. My fiance and I were BOTH allowed to stay overnight with her in her room! I've NEVER heard of a hospital allowing more than one person to sleep before. It felt more like an upscale hotel, with a kitchen and family game room right next door. To top it off, the adjoied parking garage is free. Everyone was kind, courteous, and accomodating. Would highly recommend. I'd come here myself, if I didn't live so far away. Top Notch!"","
Negatief,"""If you are admitted to the hospital, it’s probably the worst thing that can happen to you. They treat you like crap! They forget to do their rounds and are off on needed medication. Especially for pain. The nutrition people who come in are extremely rude. And the pharmacy accused me of already having my prescription at discharge when I didn’t and told me there was nothing they could do. The manager told me to leave and go check my room which I knew they didn’t deliver it to me. All for them to deliver my medication to the wrong nurse and patient! Someone else had signed for my medication. I end up getting it back. And they just handed it to me with no apology on their mistakes or how they treated me. I have called and left messages for upper management at pharmacy in regards to this incident. No one called back. I even called patient relations and left a message. No one called back. I will NEVER deal with the hospital again for future care."","
