Sentiment,Review
Positief,Nursing staff were very good. My 3 younger nurses were excellent too. Nurse A was great and the other 2 were not so good either. I had to wait more than 5mins for my bedside manner transport which involved asking questions and never coming to my room to check my pulse. Then lie on my bed side facing the toilet for 30 mins while doing manual labor. No one came. My friend who has a 2nd floor floor room was able to check in via MR (motorized room review) and did so within a 20 min period without incident. Very disappointing nurses.
Positief,I understand that waiting for food is a pain and we are here to serve you something good.’saying i can wait 11 days is a total lie’d accomplishment. 10 people sitting around waiting for a food truck to deliver it to their door. The wait staff was great. Didn’t they make you feel pressured? Don’t they deserve respect and attention? No matter how good you are at your job you never live up to your goal. Just act like a lazy ass and wait for the food to arrive. They did their best to make you feel comfortable and waited on time. All for a $10 food truck AND $40 service. Why are people going to pay $40 for that service when they should
Negatief,"I understand that waiting for your MRI is an extreme time commitment. But can you help someone who has pain by scheduling a follow up visit before they move forward with the surgery? Also, can we help your child be seen before surgery to find out if he has problems before surgery?"
Positief,"I understand that waiting for a discharge can be a stressful time and that when they do the process it takes a while to come out but I really appreciate the attention, patience, and empathy people offered. I appreciate when families and doctors come forward to help them to better understand how medical problems can be treat and are causing these problems. But when it comes to the actual care provided by a hospital my wife and I are still in this hellhole. Even when there is no medical problem the medications and procedures that are being withheld make a mockery of the patient. It saddens me that nurses and doctors who truly care cannot give a f–k!"
Positief,"I understand that waiting for surgery for a uterine abruption is a large procedure and the procedure itself can take a while and be intimidating. The doctors who performed the procedure needed time and attention to details before they performed the surgery. They should have had more time with the baby to address pre-existing health or emotional needs. During the surgery, the surgeon performed a catheter on the uterine floor and a second catheter was placed close to the uterine opening just before surgery as well. Considering that both uterine abrogations were performed at once and the surgery was being performed at a time, this could have taken a few more minutes to complete the procedure. After that, it's not a bad thing because after that, you should be"
Positief,I understand that waiting times at hospitals are very critical to getting a diagnosis made. This may seem like a small inconvenience to some people but it can have huge repercussions and can bring about far more negative repercussions. The hospitals that serve us in the military are great but they aren't the ones that need to be reformed. I understand there is a need for change and I know that each time a new hospital is formed it's going to take time for all the staff to be updated and the process going well. It pains me to see it as a burden on my family and me trying to get better as quickly as possible. What can I do to help?
Positief,"I understand that waiting times can be long and busy at times, but I would never go as far as to call for a medical attention without first getting a hospital registration number. If someone else can help me, please post photos of it, along with my registration number, when I can send the info via e-mail."
Negatief,"Unorganized, some of the staff were rude and not helpful at times. It was also a stressful experience! The staff also did nothing but make you feel good as a dollar. No snacks, no fruit, no water, no snacks available. Nurses would not even step on your baby's nose to make sure he's not dehydrated, which made him far too dehydrated to lie in the bathtub. The staff was awful. I was so tired I had to lie on the floor covered in dirty paper towels. The worst thing about it was that I needed 24 hour labor and the anesthesia was not available until after 4:00 AM. They needed to have kids before they can work on the baby. Nurse was terrible. Was very helpful"
Negatief,"Unorganized, some of the nurses didn’t do what they were supposed to do. I would send an e-mail to say there were no shifts and that they needed over 2 hours to complete a 20 minute shift. The manager kept asking me to leave for more and more snacks. I ended up leaving because they left me 3 empty bags filled with miscellaneous snacks."
Positief,"Unorganized, some of the nurses were rude. I needed a doctor and VBAC. It wasn’t smooth or step-by-step. The nurses I talked to were very rude. Two nurses I talked to didn’t know what was going on so each time I just sat there waiting. Didn’t care to be bothered. A few of the nurses I talked to didn’t care. I understand they are paid and caring but they need your help. Only God bless him and his people."
