Sentiment,Review
Positief,"Good and clean hospital. There is great team of doctors and good OT facility. The medical facilities are all great with good in-patient post operative care by doctors, nurses. The housekeeping staff is also good but they can respond to calls from the room a little faster. ,""1"",""5"","""""
Negatief,"Had a really bad experience during discharge. They need to be sensitive and more transparent towards the patient and his/her family.Â ,""1"",""5"","""""
Positief,"I have visited to take my second dose and Process was really smooth. Hospitality from all staffs are really appreciable. Shanti tooks good care and provide all details before vaccination. Thank you.,""1"",""4"","""""
Positief,"That person was slightly clueless and offered only one package. But once i got to the hospital, I found a better and more economical one and decided to go ahead,""1"",""3"","""""
Positief,"There is great team of doctors and good OT facility.,""0"",""1"","""""
Neutraal,"My primary concern arose from the insistence on conducting multiple tests, which appeared unrelated to my condition, before initiating any treatment.,""0"",""2"","""""
Positief,"Good and clean hospital.  The medical facilities are all great with good in-patient post operative care by doctors, nurses. The housekeeping staff is also good but they can respond to calls from the room a little faster.,""1"",""5"","""""
Positief,"Recently underwent a surgery for my left shoulder, the doctors are extremely good, but the management needs to be more patient oriented than money minded.,""1"",""3"","""""
Positief,"Over all experience was good, starting from reception,lab services and doctors interaction.Doctor with whom I have had consultation was so nice.He heard me with patience and clarified all my health condition.,""1"",""5"","""""
Neutraal,"However,the services of front office (where we report first) need to be improved( services should be fast).,""1"",""5"","""""
Negatief,"Other wise no complaints, fully satisfied.,""1"",""4"","""""
Positief,"Thanks to the Emergency doctor abhishek and Thanks to the security guard there,""1"",""5"","""""
Positief,"They have expert doctors who gives the right medicines and helps the patients recover fast.,""1"",""5"","""""
Positief,"I really liked the service there!,""1"",""4"","""""
Negatief,"Hopeless hospital. I don't know how they have got JCI and NABH. They have no value for patients or their attendants time.,""0"",""2"","""""
Negatief,"Receptionists only want money. They don't care if the doctor is 2 hrs late but give them money.,""0"",""1"","""""
Positief,"I went for my father. He has tracheostomy n all issues. They made him wait for 1 hour n said wait if you want to or go.,""0"",""2"","""""
Positief,"I called them to book an appointment, i requested for a senior doctor and seeked their years of experience, they don't want to share it, transparency is not there. when i called Appolo they give all the detail's,experience and i feel comfortable while choosing Doctor. Fortis,pls have transperency and it is right of a patient.,""0"",""1"","""""
Neutraal,"I was having menopause related issues and went to see a gynecologist. ,""1"",""5"","""""
Positief,"I really liked the service there!,""1"",""5"","""""
Positief,"Thanks to the Emergency doctor abhishek and Thanks to the security guard there,""1"",""4"","""""
Neutraal,"Say hello with folded hands.and Take the patient sitting in the wheel chair ...,""1"",""5"","""""
